time_s,current_mA
0.0,0.0
1.0,0.000167
2.0,0.000336
3.0,0.0005
4.0,0.000669
5.0,0.00083
6.0,0.001001
7.0,0.001159
8.0,0.001331
9.0,0.001515
10.0,0.001658
11.0,0.001846
12.0,0.001983
13.0,0.002174
14.0,0.002353
15.0,0.002501
16.0,0.002681
17.0,0.002825
18.0,0.003006
19.0,0.003148
20.0,0.00333
21.0,0.003468
22.0,0.003651
23.0,0.003863
24.0,0.00397
25.0,0.004186
26.0,0.004374
27.0,0.004506
28.0,0.004696
29.0,0.004825
30.0,0.005016
31.0,0.005141
32.0,0.005371
33.0,0.005456
34.0,0.005689
35.0,0.005884
36.0,0.006004
37.0,0.006201
38.0,0.006318
39.0,0.006516
40.0,0.006629
41.0,0.006828
42.0,0.006939
43.0,0.007139
44.0,0.007392
45.0,0.007447
46.0,0.007704
47.0,0.00791
48.0,0.008014
49.0,0.008221
50.0,0.008322
51.0,0.00853
52.0,0.008627
53.0,0.008836
54.0,0.00893
55.0,0.009141
56.0,0.009418
57.0,0.009443
58.0,0.009724
59.0,0.009743
60.0,0.010028
61.0,0.010245
62.0,0.010329
63.0,0.010547
64.0,0.010629
65.0,0.010848
66.0,0.010926
67.0,0.011225
68.0,0.011222
69.0,0.011524
70.0,0.011748
71.0,0.011821
72.0,0.012046
73.0,0.012115
74.0,0.012341
75.0,0.012408
76.0,0.012635
77.0,0.012954
78.0,0.012926
79.0,0.013249
80.0,0.013216
81.0,0.013542
82.0,0.013776
83.0,0.013833
84.0,0.014068
85.0,0.014121
86.0,0.014358
87.0,0.014408
88.0,0.014645
89.0,0.014692
90.0,0.014931
91.0,0.015278
92.0,0.015214
93.0,0.015564
94.0,0.015809
95.0,0.015849
96.0,0.016094
97.0,0.016132
98.0,0.016378
99.0,0.016412
100.0,0.01666
101.0,0.016691
102.0,0.016939
103.0,0.01731
104.0,0.017339
105.0,0.017591
106.0,0.017616
107.0,0.01787
108.0,0.017892
109.0,0.018146
110.0,0.018165
111.0,0.018421
112.0,0.01881
113.0,0.018693
114.0,0.019086
115.0,0.019347
116.0,0.019359
117.0,0.019622
118.0,0.019631
119.0,0.019894
120.0,0.0199
121.0,0.020165
122.0,0.020168
123.0,0.020434
124.0,0.020846
125.0,0.0207
126.0,0.021116
127.0,0.020964
128.0,0.021384
129.0,0.021657
130.0,0.02165
131.0,0.021923
132.0,0.021913
133.0,0.022188
134.0,0.022175
135.0,0.022451
136.0,0.022887
137.0,0.022711
138.0,0.023151
139.0,0.023132
140.0,0.023413
141.0,0.023391
142.0,0.023673
143.0,0.023647
144.0,0.02393
145.0,0.024385
146.0,0.024186
147.0,0.024644
148.0,0.024439
149.0,0.024901
150.0,0.025191
151.0,0.025156
152.0,0.025446
153.0,0.025408
154.0,0.0257
155.0,0.025659
156.0,0.025952
157.0,0.025907
158.0,0.026201
159.0,0.026683
160.0,0.026449
161.0,0.026934
162.0,0.027234
163.0,0.027183
